unique_Investor
"""Kedaraa Capital"
Karan Bajwa
Karan Bhagat
Karan Chellani
Karan Maheshwari
Karanpal Singh
Karnataka Semiconductor Venture Capital firm
Karthee Madasamay
Kartik Hosanagar
Kashyap Deorah
Katabole Technology Venture
Kaushal Agarwal
Kedar Lele
Keiretsu Forum
Keith Rodricks
KellyGamma
Kemark Ventures
Keshav Sanghi
Kevin Parikh
Keystone Group
Keyur Joshi
Khattar Holdings
Khazanah Nasional Berhad
Khosla Impact
Khosla Ventures
Kickstarter
Kima Ventures
Kingsway FCI Fund
Kinnevik Group
Kinzon Capital
Kiran Bhat
Kiran Deshpande
Kiran Mazumdar-Shaw
Kiran Shetty
Kirthiga Reddy
Kishor Ganji
Kishore Ganji
Kishore Kumar
Kiyohiro Sugashita
Kleiner Perkins
Kludein LLCPhanindra Sama
Knoll Ventures
Koen Bouwers
Konglo Ventures
Konly Venture
Korea Investment Partners
Korea Investment Partners (KIP)
Kotak Mahindra Bank
Kris Gopalakrishnan
Krish Seshadri
Krishan Gupta
Krishna Jhujhunwala
Krishna Jhunjhunwaala
Krishna Jhunjhunwala
Krishna Mehra
Krishna Rokhale
Krishnakumar Nataraj
Krishnakumar Natarajan
Krit Sankalp
Kshitij Arora
Kshitij Jain
Kstart Capital
Kumar Bansal
Kumar Shwetabh
Kumar Vembu
Kunal Bahl
Kunal Bajaj
Kunal Khattar
Kunal Shah
Kunal Shah & Sandeep Tandon
Kunal Shah and Manish Patel.
L.D Sharma
LG Chandrasekhar
LGT Group
LGT Impact
LGT Impact Ventures
LN Buddharaju
LOccitane
LV Prasad
Labruyere Eberl
Lahiri Musics family office
Lakestar and Jungle Ventures
Lakshmi Narayanan
Lakshmi Vilas Bank
Lalit Mangal
Lalit Vase
Lalitesh Katragadda
Langoor
Lantern Capital
Larry Braitman
Lashit Sanghvi
Lasmer NV
Lead Angel Network
Lead Angels
Lead Angels Group
Lead Angels Network
LeapFrog Investments
Learn Capital
Lemelson Foundation
Lenovo Capital and Incubator Group (LCIG)
Lensbridge Capital
Leo Capital
Leo Wang Sangeeth Ram
Leon Seynave
Lets Venture
LetsVenture
LetsVenture investors
Li Jian
Li Tao
Liberty Media
Life.SREDA
LightBox Ventures
LightSpeed Ventures
LightStreet
Lightbox
Lightbox Expansion Fund
Lightbox Ventures
Lightbridge Partners & Kairos
Lighthouse Funds   Thuasne Participations
Lighthouse
Lightspeed   Yuri Milner
Lightspeed India
Lightspeed India Partners
Lightspeed US
Lightspeed Venture Partners
Lightspeed Venture Partners India
Lightspeed Ventures
Ligthbox Ventures II
Likemind Ventures
Lindwall Family Investments LLC
Line Corp
Line Ventures Corporation
Lion Ventures
LionRock Capital
Lionrock Capital
Lip-Bu Tan
Liquid 2 Ventures
Littlerock
Logtally
Lohia Group
Lok Capital
Lomesh Agarwal
Lothal Angel Ventures
