Date,Startup,Industry_Vertical,SubVertical,Location,Investor,Investment_Type,Amount(USD),Remarks
08-09-2015,Reportbee,,Smart Report Cards for Schools,Chennai,India Educational Investment Fund,Seed Funding,,
08-09-2015,Gurug learning,,Teacher empowerment platform,Bengaluru,India Educational Investment Fund,Seed Funding,,
10-09-2015,Onlinetyari,,Multilingual Test Preparation Platform,Gurugram,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,"7,70,000",Series A
10-09-2015,Industrybuying,,Industrial Tools Marketplace,Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,"92,00,000",Series B
10-09-2015,The/nudge foundation,,Non Profit Organization to alleviate poverty,Bengaluru,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,"3,15,000",
11-09-2015,Fitmein,,Gym & Fitness Studios Subscription platform,Delhi,Green House Ventures,Seed Funding,"1,00,000",
11-09-2015,Envoged,,pre-used luxury item Marketplace,Mumbai,"Ankush Nijhawan, Manish Dhingra, Gaurav Bhatnagar",Seed Funding,,
11-09-2015,Zapyle,,pre-used apparel shopping mobile app,Bengaluru,Undisclosed,Seed Funding,"10,00,000",
11-09-2015,Renomania,,Home Design & Dcor platform,Delhi,Subodh Gupta,Seed Funding,,
12-09-2015,Credr,,Used Vehicles Marketplace,Mumbai,Eight Road Ventures,Private Equity,"1,50,00,000",Series A
12-09-2015,Yatragenie,,Online Bus & Cab ticketing platform,Hyderabad,Ash Bhardwaj,Private Equity,,Series A
14-09-2015,Canvasflip,,Mobile App testing platform,Hyderabad,Bessemer Venture Partners,Seed Funding,"12,00,000",
14-09-2015,Shadowfax,,Hyperlocal Delivery Services,Gurugram,Eight Roads Ventures,Private Equity,"90,00,000",Series A
14-09-2015,Ue life sciences,,Early Cancer Detection Solutions,US/India,"Aarin Capital, Unitus Seed Fund",Private Equity,"30,00,000",Series A
14-09-2015,Olacabs,,Cab rental Mobile app,Bengaluru,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,"22,50,00,000",Late Stage
15-09-2015,Coverfox,,Online Insurance Distribution Platform,Mumbai,Cataraman Ventures,Private Equity,"20,00,000",Part of $12M Series B funding
15-09-2015,Moengage,,Mobile Marketing Automation Platform,Bengaluru,"Helion Venture Partners, Exfinity Ventures",Private Equity,"42,50,000",Series A
15-09-2015,Mubble,,Prepaid Mobile Bill Manager App,Bengaluru,Nandan Nilekani,Seed Funding,,
15-09-2015,Tea trails,,Chain of Tea Cafs,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R ",Seed Funding,"10,00,000",
15-09-2015,Room on call,,Branded Budget Hotel Marketplace,Noida,Payal Syal,Seed Funding,"3,00,000",
15-09-2015,Fyne,,Home Fitting & Fixtures Marketplace,Bengaluru,Sandeep Dama ,Seed Funding,,Pre-Series A
16-09-2015,Chaipoint,,Food Subscription platform,Bengaluru,Eight Roads Ventures,Private Equity,"1,00,00,000",Series A
16-09-2015,Wedmegood.com,,Wedding Planning Platform,Gurugram,Indian Angel Network,Seed Funding,"4,10,000",
16-09-2015,Xstok,,B2B Mobile Auction Marketplace,Mumbai,Oliphans Capital,Seed Funding,"4,50,000",
17-09-2015,Unilog,,ECommerce Data Analytics Platform,Bengaluru,Kalaari Capital,Private Equity,,
17-09-2015,Paintcollar,,Designer Merchandize Marketplace,Mumbai,Applyifi,Seed Funding,,Bridge Funding
17-09-2015,Yepme,,Private label Fashion eTailer,Gurugram,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,"7,50,00,000",Series D
17-09-2015,Bueno,,Online Food ordering & delivery,Gurugram,High Networth Individuals (No details),Seed Funding,"6,00,000",
18-09-2015,Plabro,,Real Estate Broker Platform App,Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,"3,50,000",
18-09-2015,Curejoy,,Online Health & Wellness platform,Bengaluru,"Accels, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,"11,50,000",Pre-Series A
18-09-2015,Briston technomach,,Internet of Things platform,Delhi,Undisclosed,Seed Funding,"1,50,000",
18-09-2015,Labstreet,,Diagnostic Labs aggregator platform,Gurugram,Multiple investors,Seed Funding,"1,50,000",
19-09-2015,Dailyninja,,Hyperlocal Delivery Platform,Bengaluru,"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu,",Seed Funding,,
21-09-2015,Portea medical,,Home Medical Care Services,Bengaluru,"Accels, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,"3,75,00,000",
21-09-2015,Neotrade analytics,,Real-Time stock data platform,Bengaluru,Rainmatter,Seed Funding,"2,35,000",
21-09-2015,Dishco,,Food discovery & table booking app,Mumbai,"Anand Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra",Seed Funding,,
21-09-2015,Lafalafa,,coupons and cashback aggregator app,Mumbai,500 Startups,Seed Funding,"1,25,000",thru Accelerator
21-09-2015,Connectabank,,Financial Products lead generation platform,Mumbai,Prakhar Bumb,Seed Funding,,
22-09-2015,Villfarm,,Sustainable Agri-inputs Firm,Bengaluru,"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards",Seed Funding,,
22-09-2015,Bestdealfinance,,Financial Services Portal,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,"30,00,000",Series A
22-09-2015,Gamexs.in,,Pre-owned games Marketplace,Delhi,Lead Angels,Seed Funding,,
22-09-2015,The man company,,Content-based Subscription eCommerce platform,Delhi,"Karan Bajwa, Amanpreet Bajaj, Manish Vij",Seed Funding,,
22-09-2015,Virtual logic,,"virtual reality, 3d simulation and stereoscopic products",Bengaluru,Swarnim Multiventures,Private Equity,"8,00,000",Pre-Series A
22-09-2015,Furdo,,Online Interior Designing platform,Bengaluru,Bhavdeep Reddy,Seed Funding,"4,00,000",
22-09-2015,Loginext,,End-to-end Logistics platform,Mumbai,Paytm,Private Equity,"1,00,00,000",Series A
22-09-2015,Korra,,Private Label Apparel sales,Delhi,Asha Jadeja Motwani ,Seed Funding,"3,00,000",
23-09-2015,Credihealth,,Healthcare Consulting platform,Gurugram,Rajat Malhotra,Seed Funding,,
23-09-2015,Amigobulls,,Stock Market Portal,Bengaluru,"Sharad Sharma, Vijay Anand, Mohandas Pai, Pallav Nadhani, Singapore Angels Network ",Seed Funding,,
23-09-2015,Silverpush,,Cross-device retargeting platform,Gurgaon / SFO,M&S Partners,Private Equity,"12,00,000",Series A
23-09-2015,Juggernaut,,Digital & Physical Publishing platform,Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,"22,50,000",Series A
